#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,322.4241
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
128.5713,34.24474,35.58972
128.7237,33.95175,35.28522
128.8761,36.22924,37.65217
129.0285,36.47452,37.90707
129.1809,34.44559,35.79846
129.3333,32.67019,33.95332
129.4857,33.86182,35.19176
129.6381,36.66047,38.10033
129.7905,36.00666,37.42085
129.9429,32.4172,33.69041
130.0953,30.38744,31.58092
130.2477,31.34487,32.57596
130.4001,31.07991,32.30059
130.5525,31.83295,33.0832
130.7049,31.58986,32.83056
130.8573,33.12646,34.42752
131.0097,34.87799,36.24784
131.1621,34.56276,35.92023
131.3145,32.35007,33.62063
131.4669,30.09629,31.27833
131.6193,31.8759,33.12785
131.7717,30.77751,31.98631
131.9241,31.3674,32.59937
132.0765,27.8122,28.90454
132.2289,28.19388,29.30121
132.3813,35.2135,36.59653
132.5337,39.45465,41.00425
132.6861,43.40113,45.10573
132.8385,42.39313,44.05814
132.9909,40.72368,42.32312
133.1433,38.68941,40.20896
133.2957,34.37217,35.72215
133.4481,37.47032,38.94198
133.6005,38.48298,39.99442
133.7529,38.99158,40.523
133.9053,38.52142,40.03437
134.0577,38.27942,39.78287
134.2101,39.16614,40.70441
134.3625,39.29266,40.8359
134.5149,37.24696,38.70986
134.6673,32.95423,34.24853
134.8197,29.15369,30.29872
134.9721,31.1867,32.41158
135.1245,35.24446,36.62871
135.2769,36.26361,37.68789
135.4293,37.41064,38.87997
135.5817,37.77396,39.25755
135.7341,37.0881,38.54476
135.8865,35.1867,36.56867
136.0389,35.0622,36.43929
136.1913,38.78632,40.30967
136.3437,37.82719,39.31288
136.4961,37.44286,38.91344
